"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00011615,-2.7049e-08,1.2638e-06,-1.1914e-09,0.00048625,-2.705e-08,1.2638e-06,-1.1914e-09,3.6927e-09,-1.7289e-07,1.1838e-10,3.6927e-09,-1.7289e-07,1.1838e-10,1e-10,0,4.3486e-14,1,0.0075,0.0725,0,0.02
0.00012675,-2.9642e-08,1.3837e-06,-1.2395e-09,0.0005703,-2.9643e-08,1.3837e-06,-1.2395e-09,4.3357e-09,-2.0298e-07,1.3669e-10,4.3357e-09,-2.0298e-07,1.3669e-10,1.0003e-10,3.3726e-17,1.7623e-29,1,0.00775,0.07275,0,0.02
0.00013735,-3.2235e-08,1.5036e-06,-1.2877e-09,0.00065435,-3.2236e-08,1.5037e-06,-1.2877e-09,4.9787e-09,-2.3307e-07,1.5499e-10,4.9787e-09,-2.3307e-07,1.5499e-10,1e-10,0,4.2296e-28,1,0.008,0.073,0,0.02
0.00015649,-3.6929e-08,1.7206e-06,-1.3657e-09,0.00088519,-3.693e-08,1.7207e-06,-1.3657e-09,6.8172e-09,-3.1862e-07,2.0007e-10,6.8172e-09,-3.1862e-07,2.0007e-10,1e-10,0,2.1148e-28,1,0.00825,0.07325,0,0.02
0.00017564,-4.1624e-08,1.9377e-06,-1.4437e-09,0.001116,-4.1624e-08,1.9377e-06,-1.4437e-09,8.6557e-09,-4.0417e-07,2.4514e-10,8.6557e-09,-4.0417e-07,2.4514e-10,1e-10,0,2.2912e-13,1,0.0085,0.0735,0,0.02
0.00019478,-4.6318e-08,2.1547e-06,-1.5217e-09,0.0013469,-4.6319e-08,2.1547e-06,-1.5218e-09,1.0494e-08,-4.8971e-07,2.9021e-10,1.0494e-08,-4.8971e-07,2.9021e-10,1.0001e-10,3.3726e-17,1.6918e-27,1,0.00875,0.07375,0,0.02
0.00023333,-5.5797e-08,2.5925e-06,-1.6615e-09,0.0019491,-5.5798e-08,2.5925e-06,-1.6616e-09,1.5577e-08,-7.2529e-07,3.9301e-10,1.5577e-08,-7.2529e-07,3.9301e-10,9.999e-11,-3.4814e-17,-7.0493e-29,1,0.009,0.074,0,0.02
0.00027673,-6.6471e-08,3.0855e-06,-1.8168e-09,0.0026441,-6.6474e-08,3.0856e-06,-1.8168e-09,2.147e-08,-9.9835e-07,5.1025e-10,2.147e-08,-9.9835e-07,5.1025e-10,1.0001e-10,3.3727e-17,-3.618e-14,1,0.00925,0.07425,0,0.02
0.00032014,-7.7146e-08,3.5785e-06,-1.972e-09,0.0033392,-7.7149e-08,3.5786e-06,-1.9721e-09,2.7364e-08,-1.2714e-06,6.2749e-10,2.7364e-08,-1.2714e-06,6.2749e-10,1e-10,0,-5.6395e-28,1,0.0095,0.0745,0,0.02
0.00040777,-9.8807e-08,4.5779e-06,-2.2479e-09,0.0049091,-9.8811e-08,4.578e-06,-2.248e-09,4.1673e-08,-1.9328e-06,8.624e-10,4.1673e-08,-1.9328e-06,8.624e-10,1e-10,3.2639e-17,3.5247e-29,1,0.00975,0.07475,0,0.02
0.00052488,-1.2779e-07,5.9148e-06,-2.6042e-09,0.0070622,-1.278e-07,5.9151e-06,-2.6043e-09,6.1594e-08,-2.8532e-06,1.1758e-09,6.1594e-08,-2.8532e-06,1.1758e-09,1e-10,0,0,1,0.01,0.075,0,0.02
0.000642,-1.5678e-07,7.2517e-06,-2.9605e-09,0.0092153,-1.5678e-07,7.2521e-06,-2.9606e-09,8.1515e-08,-3.7735e-06,1.4891e-09,8.1515e-08,-3.7735e-06,1.4891e-09,1e-10,3.2639e-17,7.0493e-29,1,0.01025,0.07525,0,0.02
0.00084988,-2.0853e-07,9.6371e-06,-3.5204e-09,0.013109,-2.0854e-07,9.6376e-06,-3.5206e-09,1.206e-07,-5.5766e-06,2.0059e-09,1.206e-07,-5.5766e-06,2.0059e-09,9.9998e-11,-3.4815e-17,1.4099e-28,1,0.0105,0.0755,0,0.02
0.0011939,-2.9445e-07,1.3595e-05,-4.3857e-09,0.019613,-2.9447e-07,1.3596e-05,-4.386e-09,1.8844e-07,-8.7041e-06,2.8277e-09,1.8844e-07,-8.7041e-06,2.8277e-09,9.9999e-11,-3.4815e-17,9.5454e-15,1,0.01075,0.07575,0,0.02
0.001538,-3.8037e-07,1.7553e-05,-5.251e-09,0.026118,-3.8039e-07,1.7555e-05,-5.2513e-09,2.5627e-07,-1.1831e-05,3.6495e-09,2.5627e-07,-1.1831e-05,3.6495e-09,1e-10,0,0,1,0.011,0.076,0,0.02
0.0020164,-5.004e-07,2.3081e-05,-6.3541e-09,0.03496,-5.0044e-07,2.3082e-05,-6.3546e-09,3.5474e-07,-1.6368e-05,4.7067e-09,3.5474e-07,-1.6368e-05,4.7067e-09,9.9999e-11,-3.4815e-17,1.4099e-28,1,0.01125,0.07625,0,0.02
