"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","g","nu_fluid","p","taw","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9606e-05,-3.6683e-09,2.2302e-07,-1.9953e-09,0.0001546,-3.671e-09,2.2302e-07,-2.0209e-09,-1.05e-06,-4.5319e-07,-1.0021e-05,-1.05e-06,-4.5319e-07,-1.0021e-05,0.0004484,9.9907e-11,-1.7367e-17,1e-10,9.5454e-15,1,0.01075,0.07575,0,0.01
2.2636e-05,-4.3683e-09,2.5822e-07,-2.1731e-09,0.0001895,-4.3696e-09,2.5822e-07,-2.1994e-09,-4.8677e-07,-5.831e-07,-1.0295e-05,-4.8677e-07,-5.831e-07,-1.0295e-05,0.00054431,1e-10,0,1e-10,0,1,0.011,0.076,0,0.01
2.6346e-05,-5.2403e-09,3.0142e-07,-2.3659e-09,0.00023662,-5.2402e-09,3.0142e-07,-2.3927e-09,8.9723e-08,-7.2396e-07,-1.0498e-05,8.9723e-08,-7.2396e-07,-1.0498e-05,0.00067272,9.994e-11,-1.7376e-17,1e-10,1.4099e-28,1,0.01125,0.07625,0,0.01
3.2776e-05,-6.7997e-09,3.7662e-07,-2.6186e-09,0.00033261,-6.798e-09,3.7663e-07,-2.6452e-09,7.1907e-07,-9.0861e-07,-1.0426e-05,7.1907e-07,-9.0861e-07,-1.0426e-05,0.00093107,9.995e-11,-1.738e-17,1e-10,3.7022e-14,1,0.0115,0.0765,0,0.01
3.9207e-05,-8.3591e-09,4.5182e-07,-2.8713e-09,0.0004286,-8.3559e-09,4.5183e-07,-2.8977e-09,1.3484e-06,-1.0933e-06,-1.0354e-05,1.3484e-06,-1.0933e-06,-1.0354e-05,0.0011894,9.9961e-11,-1.7384e-17,1e-10,8.3028e-14,1,0.01175,0.07675,0,0.01
4.5638e-05,-9.9185e-09,5.2702e-07,-3.1239e-09,0.00052458,-9.9137e-09,5.2703e-07,-3.1502e-09,1.9778e-06,-1.2779e-06,-1.0281e-05,1.9778e-06,-1.2779e-06,-1.0281e-05,0.0014478,9.9971e-11,-1.7388e-17,1e-10,-7.0493e-29,1,0.012,0.077,0,0.01
6.1775e-05,-1.3962e-08,7.17e-07,-3.4987e-09,0.00084208,-1.3956e-08,7.1703e-07,-3.5234e-09,2.5291e-06,-1.5442e-06,-9.6582e-06,2.5291e-06,-1.5442e-06,-9.6582e-06,0.0022886,1e-10,0,1e-10,8.0794e-14,1,0.01225,0.07725,0,0.01
7.7912e-05,-1.8006e-08,9.0699e-07,-3.8735e-09,0.0011596,-1.7999e-08,9.0703e-07,-3.8967e-09,3.0805e-06,-1.8104e-06,-9.0353e-06,3.0805e-06,-1.8104e-06,-9.0353e-06,0.0031294,1e-10,0,1e-10,3.5793e-14,1,0.0125,0.0775,0,0.01
9.4049e-05,-2.2049e-08,1.097e-06,-4.2483e-09,0.0014771,-2.2041e-08,1.097e-06,-4.2699e-09,3.6318e-06,-2.0767e-06,-8.4123e-06,3.6318e-06,-2.0767e-06,-8.4123e-06,0.0039701,1.0001e-10,1.7396e-17,1e-10,7.0493e-29,1,0.01275,0.07775,0,0.01
0.00013679,-3.2972e-08,1.6037e-06,-4.802e-09,0.0025379,-3.2964e-08,1.6038e-06,-4.8206e-09,3.9154e-06,-2.5898e-06,-7.2116e-06,3.9154e-06,-2.5898e-06,-7.2116e-06,0.0067566,1e-10,0,1e-10,3.5247e-29,1,0.013,0.078,0,0.01
0.00018619,-4.5615e-08,2.1895e-06,-5.4004e-09,0.0037846,-4.5607e-08,2.1897e-06,-5.4156e-09,4.1321e-06,-3.1646e-06,-5.8665e-06,4.1321e-06,-3.1646e-06,-5.8665e-06,0.010029,9.9993e-11,-1.74e-17,1e-10,8.682e-15,1,0.01325,0.07825,0,0.01
0.00023558,-5.8257e-08,2.7754e-06,-5.9988e-09,0.0050313,-5.8251e-08,2.7756e-06,-6.0106e-09,4.3488e-06,-3.7394e-06,-4.5213e-06,4.3488e-06,-3.7394e-06,-4.5213e-06,0.013302,1e-10,0,1e-10,0,1,0.0135,0.0785,0,0.01
0.00036528,-9.1863e-08,4.3246e-06,-6.8765e-09,0.0087422,-9.186e-08,4.325e-06,-6.8843e-09,4.2808e-06,-5.5431e-06,-2.881e-06,4.2808e-06,-5.5431e-06,-2.881e-06,0.023019,1e-10,1.6315e-17,1e-10,-4.2296e-28,1,0.01375,0.07875,0,0.01
0.00054852,-1.3944e-07,6.5161e-06,-7.9405e-09,0.014096,-1.3945e-07,6.5168e-06,-7.9437e-09,4.023e-06,-8.1661e-06,-1.0439e-06,4.023e-06,-8.1661e-06,-1.0439e-06,0.037032,1e-10,3.372e-17,1e-10,-1.7786e-22,1,0.014,0.079,0,0.01
0.00073176,-1.8702e-07,8.7075e-06,-9.0044e-09,0.01945,-1.8704e-07,8.7085e-06,-9.0031e-09,3.7652e-06,-1.0789e-05,7.9317e-07,3.7652e-06,-1.0789e-05,7.9317e-07,0.051045,1e-10,0,1e-10,0,1,0.01425,0.07925,0,0.01
0.0011457,-2.9544e-07,1.3692e-05,-1.0484e-08,0.031351,-2.9547e-07,1.3693e-05,-1.0479e-08,3.5336e-06,-1.8275e-05,2.4424e-06,3.5336e-06,-1.8275e-05,2.4424e-06,0.082146,1e-10,0,1e-10,0,1,0.0145,0.0795,0,0.01
0.0019059,-4.9511e-07,2.2865e-05,-1.2587e-08,0.053075,-4.9517e-07,2.2869e-05,-1.2579e-08,3.3412e-06,-3.3055e-05,3.8097e-06,3.3412e-06,-3.3055e-05,3.8097e-06,0.13888,1e-10,0,1e-10,8.5534e-15,1,0.01475,0.07975,0,0.01
0.002666,-6.9478e-07,3.2039e-05,-1.4691e-08,0.074799,-6.9488e-07,3.2044e-05,-1.4679e-08,3.1489e-06,-4.7835e-05,5.1771e-06,3.1489e-06,-4.7835e-05,5.1771e-06,0.19562,1e-10,1.7407e-17,1e-10,-1.7623e-29,1,0.015,0.08,0,0.01
0.003882,-1.0159e-06,4.6787e-05,-1.7228e-08,0.10652,-1.0161e-06,4.6795e-05,-1.7214e-08,3.2441e-06,-7.3533e-05,6.3338e-06,3.2441e-06,-7.3533e-05,6.3338e-06,0.27823,1e-10,0,1e-10,0,1,0.01525,0.08025,0,0.01
0.0069216,-1.823e-06,8.3833e-05,-2.1501e-08,0.17821,-1.8233e-06,8.3847e-05,-2.1487e-08,4.4893e-06,-0.0001429,6.648e-06,4.4893e-06,-0.0001429,6.648e-06,0.46434,1e-10,0,1e-10,3.3332e-14,1,0.0155,0.0805,0,0.01
0.0099613,-2.6302e-06,0.00012088,-2.5775e-08,0.2499,-2.6306e-06,0.0001209,-2.5761e-08,5.7346e-06,-0.00021227,6.9622e-06,5.7346e-06,-0.00021227,6.9622e-06,0.65045,1e-10,1.7407e-17,1e-10,7.4765e-14,1,0.01575,0.08075,0,0.01
0.013001,-3.4373e-06,0.00015792,-3.0048e-08,0.3216,-3.4379e-06,0.00015795,-3.0034e-08,6.9799e-06,-0.00028164,7.2764e-06,6.9799e-06,-0.00028164,7.2764e-06,0.83656,1e-10,-1.7408e-17,1e-10,0,1,0.016,0.081,0,0.01
0.023099,-6.1478e-06,0.00028228,-3.788e-08,0.49502,-6.1489e-06,0.00028233,-3.7868e-08,1.2029e-05,-0.00051589,7.0373e-06,1.2029e-05,-0.00051589,7.0373e-06,1.2804,1e-10,0,1e-10,7.2851e-14,1,0.01625,0.08125,0,0.01
0.033197,-8.8584e-06,0.00040665,-4.5712e-08,0.66845,-8.8601e-06,0.00040672,-4.5702e-08,1.7079e-05,-0.00075015,6.7982e-06,1.7079e-05,-0.00075015,6.7982e-06,1.7243,1e-10,0,1e-10,3.2279e-14,1,0.0165,0.0815,0,0.01
0.043295,-1.1569e-05,0.00053101,-5.3543e-08,0.84188,-1.1571e-05,0.0005311,-5.3536e-08,2.2128e-05,-0.00098441,6.5591e-06,2.2128e-05,-0.00098441,6.5591e-06,2.1682,1e-10,1.7408e-17,1e-10,-7.0493e-29,1,0.01675,0.08175,0,0.01
0.065644,-1.7631e-05,0.00080906,-6.3934e-08,1.1069,-1.7634e-05,0.00080921,-6.3929e-08,3.213e-05,-0.0014446,6.2732e-06,3.213e-05,-0.0014446,6.2732e-06,2.8331,1e-10,0,1e-10,2.8197e-28,1,0.017,0.082,0,0.01
0.091056,-2.453e-05,0.0011255,-7.4964e-08,1.3949,-2.4534e-05,0.0011257,-7.4962e-08,4.3369e-05,-0.0019614,5.9757e-06,4.3369e-05,-0.0019614,5.9757e-06,3.5533,1e-10,0,1e-10,4.5225e-14,1,0.01725,0.08225,0,0.01
0.11647,-3.143e-05,0.001442,-8.5994e-08,1.6828,-3.1435e-05,0.0014423,-8.5995e-08,5.4608e-05,-0.0024781,5.6781e-06,5.4608e-05,-0.0024781,5.6781e-06,4.2736,1e-10,1.632e-17,1e-10,0,1,0.0175,0.0825,0,0.01
0.15474,-4.1917e-05,0.001923,-9.5141e-08,1.9784,-4.1923e-05,0.0019233,-9.5143e-08,6.7929e-05,-0.0030903,5.3915e-06,6.7929e-05,-0.0030903,5.3915e-06,5.0013,1e-10,0,1e-10,-2.8197e-28,1,0.01775,0.08275,0,0.01
0.20159,-5.4796e-05,0.0025137,-1.0303e-07,2.279,-5.4803e-05,0.002514,-1.0304e-07,8.2639e-05,-0.0037661,5.1123e-06,8.2639e-05,-0.0037661,5.1123e-06,5.734,1e-10,0,1e-10,-1.6357e-22,1,0.018,0.083,0,0.01
0.24844,-6.7675e-05,0.0031044,-1.1093e-07,2.5796,-6.7684e-05,0.0031048,-1.1093e-07,9.7349e-05,-0.004442,4.833e-06,9.7349e-05,-0.004442,4.833e-06,6.4667,1e-10,1.7408e-17,1e-10,-4.2296e-28,1,0.01825,0.08325,0,0.01
0.30183,-8.2454e-05,0.0037822,-1.1265e-07,2.813,-8.2464e-05,0.0037827,-1.1266e-07,0.00010957,-0.0050036,4.5587e-06,0.00010957,-0.0050036,4.5587e-06,7.0335,1e-10,0,1e-10,3.5247e-29,1,0.0185,0.0835,0,0.01
0.36505,-0.00010008,0.0045908,-1.0513e-07,2.9457,-0.0001001,0.0045914,-1.0513e-07,0.00011807,-0.005394,4.2917e-06,0.00011807,-0.005394,4.2917e-06,7.3513,1e-10,-1.7408e-17,1e-10,7.4096e-15,1,0.01875,0.08375,0,0.01
0.42827,-0.00011771,0.0053994,-9.7615e-08,3.0784,-0.00011773,0.0054,-9.761e-08,0.00012656,-0.0057844,4.0247e-06,0.00012656,-0.0057844,4.0247e-06,7.6691,1e-10,0,1e-10,-1.7623e-29,1,0.019,0.084,0,0.01
0.49215,-0.0001356,0.0062196,-8.599e-08,3.1563,-0.00013561,0.0062202,-8.5981e-08,0.00013237,-0.0060516,3.7647e-06,0.00013237,-0.0060516,3.7647e-06,7.8555,1e-10,1.632e-17,1e-10,7.0493e-29,1,0.01925,0.08425,0,0.01
0.5587,-0.00015449,0.0070858,-5.7942e-08,3.0148,-0.0001545,0.0070864,-5.793e-08,0.00012745,-0.0058257,3.5324e-06,0.00012745,-0.0058257,3.5324e-06,7.5162,1e-10,0,1e-10,2.8822e-14,1,0.0195,0.0845,0,0.01
0.62525,-0.00017337,0.0079521,-2.9895e-08,2.8734,-0.00017339,0.0079526,-2.9879e-08,0.00012252,-0.0055998,3.3001e-06,0.00012252,-0.0055998,3.3001e-06,7.1769,1e-10,0,1e-10,6.4653e-14,1,0.01975,0.08475,0,0.01
0.6918,-0.00019226,0.0088183,-1.8462e-09,2.7319,-0.00019227,0.0088188,-1.8269e-09,0.00011759,-0.0053739,3.0678e-06,0.00011759,-0.0053739,3.0678e-06,6.8376,1e-10,0,1e-10,7.0493e-29,1,0.02,0.085,0,0.01
0.73331,-0.00020451,0.0093797,2.1415e-08,2.4767,-0.00020452,0.0093802,2.1433e-08,0.00010611,-0.0048472,2.9412e-06,0.00010611,-0.0048472,2.9412e-06,6.2145,1e-10,0,1e-10,0,1,0.02025,0.08525,0,0.01
0.77483,-0.00021676,0.0099411,4.4676e-08,2.2215,-0.00021677,0.0099415,4.4694e-08,9.4619e-05,-0.0043204,2.8147e-06,9.4619e-05,-0.0043204,2.8147e-06,5.5914,1e-10,0,1e-10,0,1,0.0205,0.0855,0,0.01
0.81635,-0.00022901,0.010502,6.7937e-08,1.9664,-0.00022902,0.010503,6.7954e-08,8.3131e-05,-0.0037936,2.6881e-06,8.3131e-05,-0.0037936,2.6881e-06,4.9684,1e-10,0,1e-10,-3.5247e-29,1,0.02075,0.08575,0,0.01
0.85787,-0.00024126,0.011064,9.1199e-08,1.7112,-0.00024127,0.011064,9.1215e-08,7.1643e-05,-0.0032668,2.5615e-06,7.1643e-05,-0.0032668,2.5615e-06,4.3453,1e-10,0,1e-10,0,1,0.021,0.086,0,0.01
0.88003,-0.00024828,0.011385,9.659e-08,1.4829,-0.00024829,0.011385,9.6603e-08,6.1468e-05,-0.0028012,2.4811e-06,6.1468e-05,-0.0028012,2.4811e-06,3.7733,1e-10,0,1e-10,0,1,0.02125,0.08625,0,0.01
