"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.57808,-3.1053e-07,0.0071104,2.307e-06,2.3411,-5.9046e-18,-3.4818e-17,-9.9133e-32,1,0.017,0.082,0,0.02
0.62359,-2.6871e-07,0.0076986,2.3195e-06,2.2378,0,0,0,1,0.01725,0.08225,0,0.02
0.66909,-2.2689e-07,0.0082868,2.332e-06,2.1346,0,0,1.186e-22,1,0.0175,0.0825,0,0.02
0.71459,-1.8507e-07,0.008875,2.3445e-06,2.0313,0,0,1.0151e-28,1,0.01775,0.08275,0,0.02
0.7601,-1.4325e-07,0.0094632,2.357e-06,1.9281,0,0,1.2181e-27,1,0.018,0.083,0,0.02
0.7922,-1.05e-07,0.0098963,2.2657e-06,1.7566,-8.4644e-18,-3.4823e-17,-1.5861e-30,1,0.01825,0.08325,0,0.02
0.82431,-6.6753e-08,0.010329,2.1744e-06,1.5852,0,0,0,1,0.0185,0.0835,0,0.02
0.85642,-2.8503e-08,0.010762,2.0832e-06,1.4137,1.0797e-17,3.4826e-17,-7.9306e-31,1,0.01875,0.08375,0,0.02
0.88853,9.7461e-09,0.011195,1.9919e-06,1.2423,-2.2431e-17,-6.5302e-17,9.5167e-30,1,0.019,0.084,0,0.02
0.90592,2.7372e-08,0.011451,1.8279e-06,1.088,-1.5466e-17,-3.483e-17,1.0151e-28,1,0.01925,0.08425,0,0.02
0.92331,4.4998e-08,0.011706,1.664e-06,0.93365,0,0,0,1,0.0195,0.0845,0,0.02
0.94071,6.2624e-08,0.011961,1.5e-06,0.77933,0,0,1.0151e-28,1,0.01975,0.08475,0,0.02
0.9581,8.025e-08,0.012216,1.3361e-06,0.625,0,0,-1.2181e-27,1,0.02,0.085,0,0.02
0.96535,7.8001e-08,0.012345,1.1767e-06,0.53042,0,0,3.7175e-32,1,0.02025,0.08525,0,0.02
0.97261,7.5752e-08,0.012475,1.0173e-06,0.43583,0,0,0,1,0.0205,0.0855,0,0.02
0.97986,7.3503e-08,0.012604,8.5797e-07,0.34124,0,0,4.9566e-32,1,0.02075,0.08575,0,0.02
0.98712,7.1253e-08,0.012734,6.9859e-07,0.24665,0,0,-9.9133e-32,1,0.021,0.086,0,0.02
0.98948,6.2629e-08,0.012802,5.9638e-07,0.20443,0,0,0,1,0.02125,0.08625,0,0.02
0.99185,5.4004e-08,0.01287,4.9417e-07,0.16221,0,0,1.08e-22,1,0.0215,0.0865,0,0.02
0.99421,4.5379e-08,0.012937,3.9197e-07,0.11998,0,0,-2.0302e-28,1,0.02175,0.08675,0,0.02
0.99658,3.6754e-08,0.013005,2.8976e-07,0.077757,2.6129e-16,3.4862e-17,1.2181e-27,1,0.022,0.087,0,0.02
0.99721,3.1066e-08,0.013051,2.4219e-07,0.063427,4.6557e-16,3.4867e-17,0,1,0.02225,0.08725,0,0.02
0.99783,2.5379e-08,0.013097,1.9463e-07,0.049098,0,0,0,1,0.0225,0.0875,0,0.02
0.99846,1.969e-08,0.013142,1.4707e-07,0.034769,0,0,1.5861e-30,1,0.02275,0.08775,0,0.02
0.99909,1.4003e-08,0.013188,9.9505e-08,0.02044,0,0,3.1722e-30,1,0.023,0.088,0,0.02
0.99923,1.1627e-08,0.013227,8.1317e-08,0.016538,0,0,2.0302e-28,1,0.02325,0.08825,0,0.02
0.99937,9.2514e-09,0.013267,6.3129e-08,0.012635,0,0,0,1,0.0235,0.0885,0,0.02
0.99951,6.8758e-09,0.013306,4.4942e-08,0.0087321,3.5541e-15,3.2722e-17,-2.0302e-28,1,0.02375,0.08875,0,0.02
0.99966,4.5002e-09,0.013345,2.6754e-08,0.0048294,9.0972e-15,6.764e-17,-1.6242e-27,1,0.024,0.089,0,0.02
0.99899,3.6253e-09,0.013374,2.099e-08,0.0039303,0.27307,0.0012337,1.2392e-32,1,0.02425,0.08925,0,0.02
0.99832,2.7503e-09,0.013402,1.5227e-08,0.0030312,0.54614,0.0024674,0,1,0.0245,0.0895,0,0.02
0.99765,1.8754e-09,0.013431,9.4635e-09,0.0021321,0.8192,0.003701,0,1,0.02475,0.08975,0,0.02
0.99976,0,0.013497,0,0.00065825,2.1846,0.0098694,0,1,0.025,0.09,0,0.02
